count,julian_manUncertainty_codes,julian_carHitMan_codes,workerID,sentences
41,0,1,43,"The red car contributed to the crash but the blue car struck the pedestrian.  The blue car had a chance to avoid the pedestrian, in my view."
42,0,1,44,The blue car seemed not to brake and kept going and ran over the man.
43,0,1,45,The car that hit the man is ultimately the one who is responsible.
44,0,1,46,The blue car was loaded down with papers and could not properly control its speed. It went faster and struck the man.
45,0,1,47,"As the cars moved right, at one point in time they were side by side. But at the last few moments the blue car pulled ahead and knocked the man over."
46,0,1,48,the blue car was pushed by the red car which ran into the man
47,0,0,49,red car caused it
48,0,1,50,"To me, it looked as though the blue car passed the red car, then hit the man. Although, my video was laggy for some reason, and I could have missed something."
49,0,0,51,I felt the blue car caused the harm so is more directly responsible
50,0,0,52,I wasn't totally confident. But the blue one seemed more aggressive for some reason.
51,0,1,53,The blue car deserves all the blame because they hit the man
52,0,1,54,the blue car hit the man
53,1,0,56,"Well I am not really sure, I did not get to see either car hit the man. The blue car is closer to him, however I believe the red car moved more, so i really do not know."
54,0,0,57,Because that's what my opinions is.
55,0,0,58,"the red car initiated the problem.  had the red car not hit the blue car, there would have been no incident.  it can be argued that the driver of the blue car was not quick enough to brake, but that's not certain.  what i do know is that the red car initiated this incident."
56,0,1,59,The blue car hit the man. The red car had nothing to do with it.
57,0,1,60,because the blue car zoomed past the red car to hit the man.
58,0,1,61,The blue car hit theman and it looks like it has a huge amount of stuff on top of their roof!
59,0,1,62,"The red car bumped into the blue car, causing it to hit the person."
60,0,1,64,the blue car hit the man
61,0,1,65,"the red car wasn't even near the man when he was hit, the blue one was. If the video was showing a man hit by a car, it seemed like it was the blue one."
62,0,1,67,"I believe that both vehicles share blame, but the one that finally struck the man is most at fault."
63,0,1,68,the blue car hit the man in the video
64,1,0,69,"The blue car was closer, but I didn't actually see it hit the guy.  "
65,0,1,70,The red car appeared to run into the blue car which caused it to lerch forward and strike the man.
66,0,1,71,"I'm not sure, but it seems to me that the red car hit the blue car, causing it to hit the man.  I couldn't tell what else might have effected the outcome (whether the blue car slowed, put on its lights).  But even with all of the weight on the blue car, I still saw the red car  hit the blue car.  "
67,0,0,72,The red car went into the blue car. The blue car wouldn't have ran into the man on its own
68,0,0,73,
69,0,0,74,"The blue car has too many things on top of it, rendering it at fault. The red car was unable to see and make judgements on what the blue car was going to do next. "
70,0,1,75,"the blue car passed the red car and hit the man, so the blue car should be responsible. "
71,0,1,76,The red car ran into the blue car pushing it forward into the man.
72,0,0,78,The red car caused a chain reaction.
73,0,1,79,"The red car pulled up beside the blue car, then the blue car hit the man."
74,0,0,80,My observation.
75,0,1,81,I think that the car that hit the man should be the car to blame regardless of the scenario. The car that hit the man could have swerved or moved away from the man and should have been paying attention.
76,0,0,82,"While the red car should not have been following so close to the blue car as to not have enough reaction time to stop in time, the blue car should not have the newspapers bundled up to a height in which the driver of the red car cannot see in front of it."
77,0,1,83,The blue car was the one that hit the man. The red car did nothing wrong.
78,0,1,84,it was the blue car that hit the person.
79,0,1,85,"The blue car appeared to be the one that hit the man.  Therefore, he should receive all of the blame for the accident."
80,0,0,86,the red car was the one in motion
81,0,0,87,tHE RED CAR did not move the blue car went through or around red car
82,0,1,88,The blue car came out of nowhere and then hit the man. 
83,0,0,89,"The way the video played, it did not appear as though the red car had somehow shoved the blue car into the man."
84,0,1,91,Because the blue car was the one who hit the man.
85,0,1,92,"The red car smashed into the blue car which caused the blue car to knock over the man. If the red car wasn't careless in driving, then the blue car would have remained still and not knocked over the man. "
86,0,0,93,No one should be on a road with a car loaded like that
87,0,1,94,"if the red car hadn't hit the blue car, the blue car wouldn't have hit the man"
88,0,0,95,The blue car was in front and probably wasnt paying attention
89,0,0,96,its the one that moved towards the man
90,0,0,97,The blue car was going much faster and didn't slow down in time.
91,0,1,98,the blue car is the car that hit the man. it was unclear how much if at all the red car had to do with it
92,0,1,99,the blue car would not have hit the man were it not for the action of the red car
93,0,1,100,The blue car was stopped at a reasonable distance from the man.  The red car did not stop and ran into the blue car.  This caused the blue car to run into the man.
94,0,1,101,"It appeared that the blue car hit the man, not the red car.  So, the blue car had the last chance to avoid the accident plus, it's possible that the red car didn't see the man at all."
95,0,1,102,To me it appeared that the blue car sped ahead and hit the man first.
96,0,1,103,"It was obvious from the distance of the blue car, that it was responsible for hitting the man."
97,0,0,104,The driver of the blue car was not observing traffic rules.
98,0,1,105,The red car hit thw blue car causing it to hit the man.
99,0,1,106,It looked like the blue car drove into the man rather than the red car pushing the blue car.
100,0,1,107,The blue car blatantly hit the man. 
101,0,1,108,"The red car was at fault for failing to stop in sufficient time. That car's act of failing to drive with caution set the course of events into motion, and had it not been for their actions, the man may not have been hit by the blue car. However, the blue car was engaging in dangerous behavior at the time of the accident. It was carrying an over-sized load of supplies on its roof, which causes serious hazards on the road."
102,0,0,109,The blue car seemed to be out in front when the man fell down. The red car was behind the blue car. The blue car should have stopped.
103,0,1,110,"if the red car did not hit the blue car the blue care would not have hit the man.
"
104,0,0,111,The blue car was the closest to the man before he fell down
105,0,1,112,It appeared that the red car ran into the blue car which caused the blue car to move forward and hit the man. 
106,0,0,113,Blue car was closer
107,0,1,114,It appeared that the blue car moved up and hit the man
108,0,1,115,It seemed the red car bumped into the back of the blue car thus propelling it and running over the man.
109,0,1,116,"Because the blue car was ahead of the red when the guy got hit, so it's a logical conclusion that the blue hit the man."
110,0,1,117,The blue car clearly hits the many in the video. 
111,0,0,118,"the cars are about the same size so the impact of the red car would not be excessive. Also, even though the red car hit the blue car, it looks like the blue car had sufficient distance to brake or swerve to avoid hitting the man"
112,0,1,119,"The red car tapped the blue car, which made it hit the man, so the red car is at fault."
113,0,0,120,I think that the blue car should have driven more carefully knowing that it is carrying a huge load.
114,0,1,121,The blue car passed the red car and hit the man
115,0,0,122,I DONT SEE HOW THE RED CAR COULD AT ALL BE AT FAULT BUT THAT IS JUST MY OPINION.
116,0,1,123,"It appeared that the red car rear-ended the blue car, causing them to run into the man."
117,0,1,124,Because the blue car past the red car and hit the man.  
118,0,1,125,The Blue car ran the man over. 
119,0,0,126,"the red car started it, the blue car was just apparently in neutral"
120,0,1,127,The blue car pulled ahead of the red car and hit the man
121,0,0,128,"The blue driver could have slowed down before getting to the man, but they didn't. It is entirely their fault."
122,0,1,129,Because the blue car was the car that directly hit the man.
123,0,0,130,The blue car had plenty of time to observe the man and avoid him.
124,0,1,131,The blue car wouldn't have hit the man if the red car hadn't crashing into it.
125,0,1,134,because the blue car hit him
126,0,1,135,"If the red car didnt hit the blue car, the man standing in front of them would not have been hit. The red car caused the blue car to move forward"
127,0,1,136,"The blue car could have stopped before hitting the man. Because he directly hit the man, he absorbs the blame."
128,0,1,137,The blue car appeared to hit the man. 
129,0,1,138,The red car was fairly far behind the blue car when the blue car hit the man.
130,0,0,139,The blue car could have used his brakes.
131,0,1,140,the blue car hit the man
132,0,1,141,It appeared in this minimalist clip that the red car rear ended the blue car into the man.
133,0,1,142,Because the red car stopped and the blue car hit the man. 
134,0,1,143,"I feel that while the red car did get close and cause the blue car to move forward, the blue car ultimately hit the man and should be responsible."
135,0,1,144,The blue car was stationary and would not have hit the man if the red car hadn't hit the blue car.
136,0,0,145,asd
137,0,0,145,sd
138,0,1,147,The red car hit the blue car which caused it to go forward and hit the man.
139,0,0,148,The driver of the blue car should have been more careful and predicted any possibilities regarding accidents.
140,0,1,149,It appeared that the red car rear-ended the blue car forcing it to hit the man.
141,0,0,150,The blue car was closer to the man when he fell.
142,0,1,151,Cause the blue car hit the man
143,0,0,154,It didn't even look like the red car collided with the blue car. The blue car just went forward and had plenty of time to stop.
144,0,0,155,"When I saw the video with the man lying on the ground, the blue car was the closest, so I'm assuming that the blue car crashed into the man."
145,0,0,156,"If it wasn't for the red car hitting the blue car, the man would still be alive. The blue car should not have had all those things on his car, but even if he didn't the man would have still been hurt due to the red car's inattentive driving."
146,0,1,157,"fROM THE LOOKS OF IT, THE RED CAR WAS TRYING TO PASS THE BLUE CAR. hOWEVER, THE BLUE CAR OVERTOOK THE RED CAR, AND THE BLUE CAR DIRECTLY HIT THE MAN. SINCE THE BLUE CAR DIRECTLY HIT THE MAN, WITHOUT BEING REAR-ENDED, THE BLUE CAR IS TOTALLY AT FAULT FOR DIRECTLY HITTING THE MAN."
147,0,1,158,"The blue car was the car that hit the man. However, there may have been some issue with the red car, such as swerving that may have contributed to the accident. "
148,0,1,159,I think the red car was trying to pass the blue car but noticed the man so he slowed down. The blue car was too preoccupied on not letting the red car pass him that he didn't see the man and hit him. 
149,0,0,160,Because the red car caused the blue car to be pushed forward
150,0,0,161,"Even though the view of the blue car was obstructed, the driver should have proceeded with more caution because of the obstructed view, so the blue car was still at fault in my opinion."
151,0,0,163,Red car propelled blue forward.
152,0,1,165,The blue knocked the man down. 
153,0,1,166,"The blue car is the one that hit the man, therefore they are responsible."
154,0,1,167,I didn't see the car hit the man
155,0,1,168,"The red car did nothing wrong, the blue car hit the man."
156,0,1,169,Because the car that hit the person should receive the brunt of the blame
157,0,0,170,"Blue car is an accident caused, red did not participate.
it's just an illusion"
158,0,0,171,"i watched the blue car move ahead of the red, then the man fell over"
159,0,1,172,the red car ran into the blue car forcing it to hit the man
160,0,1,173,The blue car was the one that hit the man. The red car stopped on the side of the blue car.
161,0,1,174,"It appeared that the red car caught up to the blue car, the blue car pulled ahead and struck the man leaving the red car behind"
162,0,1,175,the red car interfered with the blue car and caused the it to hit the man
163,0,1,176,"The blue car was the one that hit the man, the red car did not."
164,0,1,177,"Aside from the fact that the blue car directly hit the person, they also had stacks of something on top of them. This led to the red car being unable to see clearly."
165,0,1,178,"Because the red car hit the blue car causing it to hit the man, the blue car did not intent this to happen."
166,0,1,179,"I'm not sure of what I saw happening. It seemed that the red car was driving alongside or trying to pass the blue car, and the blue car sped up and hit the man. If this is the case, this is entirely the fault of the blue car."
167,0,1,181,It seemed like the red car bumped into the blue car and caused the blue car to hit the person.
168,0,1,182,It looked the red car sped up to be side by side with the blue car and then the blue car hit the man.
169,1,0,183,"The blue car (from what I recall) approached the man closest when he ""fell over"" (symbolizing he was struck?)"
170,0,0,184,The blue car has too much stacked up on it and is blocking the viewpoint of the red car. Although the red car should still proceed cautiously just in case. I felt the blue car was more at fault for stacking so much on top of it.
171,0,1,185,The blue car and red car were driving side by side and the blue car hit the man after it got ahead of the red car. 
172,0,1,186,"The red car ran into the back of the blue car causing the blue car to run into the man. However, the blue car has a huge load on top of it, making it too heavy to slow down in time to miss hitting the man, so the blue car deserves some blame, too."
173,0,1,187,It looked like the red car drove into the back of the blue car which knocked the blue car into the man
174,0,0,188,The video seemed to have two cars in the same place. It confused me.
175,0,1,189,The blue car hit him. The red car slowed down.
176,0,0,190,"The red car seemed to hit or collide with the blue car, pushing it forward, towards the man."
177,0,1,191,The red car hit the blue car making it move ahead to hit the man.
178,0,0,192,"The driver of the blue car could have swerved out of the way, but if the red car would not have hit it, it would not have mattered."
179,0,0,193,"The red car was in the process of passing the blue car, which appeared to speed up as the red car met it."
180,0,1,194,the blue car probably wouldn't have hit the man if the red car hadn't hit it first
181,0,1,195,It knocked the blue car into him
182,0,1,196,The red car did not do a thing the blue car just hit the man and knocked him over.
183,0,0,197,The blue car should only have overtaken the red care when the driver was certain it was safe to do so. This accident could have been avoided entirely had the blue car simply slowed down and assessed the situation further
184,0,0,198,"The red car started the problem, but the blue car was not far enough behind the man.  The blue car should have swerved and missed him. "
185,0,0,199,The red car hit the blue car but if it were not overloaded the accident could have been avoided.
186,0,0,200,The red car started the collision 
187,0,1,201,"The blue car seems to have an unsafe amount of cargo they're carrying around, which would have led to the weight of the vehicle to potentially easily move forward if their foot is not on the brake well enough. The red car may have hit them, but it was their excessive cargo/irresponsible choices that led to them hitting the pedestrian."
188,0,1,202,The red car caused the blue car to hit the man.
189,0,0,203,The red car started the actual collision as a rear end
190,0,1,204,"Even though the video playing was paused couple times in the processing, It looked like the red car initiated the accident toward the blue car and the blue car was forced to hit the man.  Thus, I think the red car should be more blamable than the blue car."
191,0,1,205,The blue car was speeding and did not allow enough stopping distance from avoid hitting the man.
192,0,1,206,Because the red car pulled up next to the blue car and did not push it. The blue car drove into the man on its own.
193,0,0,207,Because the blue car was closer to the man.
194,0,0,209,because that what I observed
195,0,1,211,"It appeared that the red car moved forward and stopped parallel to the blue car. After that the blue car moved forward and hit the person. If the red car hit the blue car, then the red car wouldn't simply stop where the blue car was. Both would have moved forward together."
196,0,1,212,"If the red car had not pushed the blue car, the blue car would not have run over the man."
197,0,0,213,The red car did not hit the man. The Blue car should have been paying attention.
198,0,0,214,it appeared to me that the red car just went alongside the blue car.
199,0,0,215,Red car is at fault but blue is recklessly endangering.
200,0,1,216,"It was not clear to me if the red car even hit the blue car as they were overlapping in image and the sequence was not shown 100%. The blue car itself appears to have a lot of weight, so if the red car did indeed hit the blue car, I do not believe the blue car would move on its own. Therefore, it seems the blue car (whether or not the red car actually hit it) seemed to move on its own accord and hit the person."
201,0,1,217,The red car appears to have run into the blue car knocking it into the man.
202,0,1,218,The blue car had to pass the red car in order to hit the man. It was clearly intentional.
203,0,1,219,"The blue car likely wouldn't have hit the man if it weren't hit by the red car. Of course, it's not 100% certain, but it does seem that the red car precipitated the events that occurred."
204,0,1,220,The red appeared to slam into the blue car which then hit the man.  I wasn't sure if the cargo on top of the blue car was relevant.  Surely it's against traffic regulations.
205,0,1,221,The blue car could have stopped from hitting person
206,0,1,222,The blue car would not have moved were it not for the red car hitting it.
207,0,1,223,The blue car had the ability to see the man and make efforts to avoid him until he was propelled into the man by the car that hit him from behind.
208,0,0,224,both somewhat responsible
209,0,0,225,I did not see any instance where the red car should be held responsible for the blue car's actions
210,0,0,226,The blue car was their then the man was down.
211,0,1,227,it looked like the blue car just hit him
212,0,0,228,The red car started the chain reaction by running into the blue car.
213,0,1,229,Based off the animation it appeared as the blue car is the vehicle that struck the man.
214,0,1,230,"The blue car hit the man, the red car didn't. THe blue car is to blame."
215,0,0,231,"The blue car was going toward the man the entire time, the red car didn't appear until the last clip."
216,0,1,232,"The red car hits the blue car, forcing the blue car to collide with the old man."
217,0,0,233,The red car hit the blue car and caused them to move faster 
218,0,1,234,"The video showed the red car approaching the blue car from behind. The red car then seemingly merged with the blue car and remained merged for one frame. Since it's not possible for cars to merge into one, I assume that the cars are not exactly in the same plane. As in, the red car is more to the side of the blue car, so that if you were seeing it from overhead, they would be parallel like this ||. The blue car, for some reason, then accelerated ahead and hit the man. Therefore the blue car is to blame."
219,0,1,235,"It looked as if the red car did not hit the blue car into the person nor hit the person. It does look as if the blue car hit the person, therefore the blue car would be to blame."
220,0,1,236,The red car caused the crash which pushed the blue car into the man so the red car is at fault in my opinion.
221,0,0,237,It was clearly the red car that caused it
222,0,1,238,The blue car was the one that hit the man.
223,0,1,239,The red car was not involved at all in hitting the man. The car passed through the red car and struck the man.
224,0,1,240,The blue car just went forward and hit the man
225,0,1,241,because he was passing the red car and hit the man
226,0,0,242,"Basically because had the driver of the blue car been using their brakes, they likely would've have hit the man in the first place."
227,0,1,243,because the red car moved towards the blue car and the blue car looks like he sped up and then hit the man.  
228,0,1,244,The red car caused the blue car to hit the man 
229,0,1,245,it was the blue car that intentionally sped up and hit the man.
230,0,0,246,it hit first
231,0,0,247,Because this would not have happened were it not for the red car
232,0,0,248,because they started and initiated the crash scene
233,0,1,249,"I don't believe that the blue car would have hit the man if that red car didn't run into the blue car. Since the incident wouldn't have occurred if the red car's actions had been different, I blame the red car."
234,0,0,250,The blue car should not have stopped as quickly
235,0,1,252,"The blue car directly hit the person. There is a very small chance based on the animation that the red car bumped into the blue car, causing it to hit the man. Very unlikely in this case. The blame goes to the blue car for hitting the man."
236,0,1,253,The blue car hit the man but it was the actions of the red car that caused the accident.
237,0,1,254,"the red car hit the blue car, which caused it to hit the blue car. If the blue car was not in the way, the red car would have hit the person instead."
238,0,1,255,The blue car would not have hit the man if it weren't for the read car hitting the blue car. 
239,0,0,256,"Because the blue car had time to brake, the red car used the breakes."
240,0,1,257,The red card did appeared to bump into the blue car and cause the blue car bump into the man but it's still the blue care driver to watch out on stuff around.
241,0,0,258,The red car caused the blue car to move.  The blue car would not move without the red car.
242,0,0,259,"Although the blue car should not have all that piled on top of it, the pile did not fall or hit the man. In fact the pile probably delayed the accident because it probably required more force for the red car to force the blue car into the man. We do not know if the blue car saw the red car coming so that it might have swerved or put on the brakes to avoid hitting the man."
243,0,0,260,The blue car could have swerved.
244,0,0,261,"The blue car was ahead, they should have seen him"
245,0,1,262,"I blame the driver of the red car because if he had not ran into the blue car, the blue car would of not rolled into the man."
246,0,1,263,The blue car hit him 
247,0,0,264,I don't think the blue car should have been that close to a man in the street regardless.
248,0,1,265,"The blue car hit the man, maybe the red car rear ended the blue one though..."
249,0,1,266,"the red car pushed the blue car into the man, the man fell, red car is at fault 100%."
250,0,1,267,"the blue car hit the man, so he is more to blame"
251,0,0,268,I think the blue car is being irresponsible stacking so many things onto of his car. In no way can that be legal.
252,0,0,269,The red car did not move.
253,0,1,270,"if not for the red car, the blue car never would have struck the driver."
254,0,1,271,the red car crashed into the blue causing it to hit the man.
255,0,0,272,Because the red car hit the blue car and it did not appear the blue car was moving.
256,0,1,273,the red car was the one that drove into the blue car that in return hit the man
257,0,1,275,The red car hit and caused the blue car to hit the man.
258,0,0,276,"Because the red car did not come anywhere near the man, but the blue car clearly did. "
259,0,1,277,the blue car was the one that hit the man
260,0,1,278,Because it was the actual car that hit the person who is at fault.
261,0,0,279,"the blue car was in front, and should have been paying attention to who was in the road. according to the law, pedestrians always have the right of way, even when they are obstructing traffic."
262,0,1,280,The blue car hit him directly.
263,0,1,282,"The red car is the cause of the accident, and it was their forward momentum that caused the man to be run over."
264,0,0,283,"At one point in the video, both the red and blue car were at the same point in relation to the man.  The blue car was the one that did not stop, even though it had time.  It is 100% the fault of the blue car."
