pt_causal_code,jdf_causal_code,causal_agreement,CAUSAL,pt_realistic_code,jdf_realistic_code,realistic_agreement,REALISTIC,blame_scaled,number,sentence
1,1,1,1,1,1,1,1,9,41,"The blue car was unable to react to the red car hitting it so quickly at probably a higher speed. The blue car was also stopped, and only moved and hit the man because it was hit from the back. "
1,1,1,1,1,1,1,1,9,42,"Full disclosure, I am an accident reconstructionist with a State Police Agency.  The blue car was, presumably, stopped for the man when the red car hit the blue car.  The red car was either traveling too fast to allow himself to react to the stopped vehicle, or was not paying attention to the roadway."
0,0,1,0,1,1,1,1,8,43,The blue car was not moving initially.
1,1,1,1,1,1,1,1,9,44,the red car hit the blue car. That pushed him into the man.
1,1,1,1,1,1,1,1,9,45,The red car hit the blue car which caused the blue car to run into the man.
1,1,1,1,1,1,1,1,9,46,The red car hit the blue car and pushed it into the man.
1,1,1,1,1,1,1,1,6,47,"The blue car hit the man, but the blue car was originally fully stopped. The red car collided with the blue car instead of stopping, pushing the blue car into the man. "
1,1,1,1,1,1,1,1,8,48,I blame the red car because the blue car wouldn't have hit the man if it had not been rear-ended by the red car.
0,0,1,0,1,1,1,1,1,49,It seems the blue car zoomed past the red car and hit the man.
1,1,1,1,1,1,1,1,5,50,"The red car rear ended the blue car forcing it into the man, had the red car been following at a safer distance or paying attention it could have been avoided."
0,0,1,0,1,1,1,1,9,51,The blue car hit the man. point blank.
1,0,0,0,1,1,1,1,8,52,the blue car was keeping enough distance from the man but the red car was not cautious enough
1,1,1,1,1,1,1,1,8,53,"I feel that while the blue car is the one that actually hit the man, this would not have happened if the red car had not hit the blue car first. The actions of the red car are clearly to blame in this situation."
1,1,1,1,1,1,1,1,8,54,"The blue car would not have otherwise hit the man. The reason that it did, is because the red car ran into the back of the blue car."
1,1,1,1,1,1,1,1,4,55,red car hits blue
1,1,1,1,1,1,1,1,9,56,I think because the red car hit the blue so hard that it made the driver of the blue car lose control and hit the man 
1,1,1,1,1,1,1,1,7,57,The red car is the car that started the accidents in motion.  However the driver in the blue car also deserves some blame because he should have had control of his car. 
1,1,1,1,1,1,1,1,9,58,Because the red car hit the blue car and caused it to run into the man.
1,1,1,1,1,1,1,1,9,59,The red car hit the blue car which caused the blue car to hit the man. Therefore the red car is at fault assuming the blue car made an attempt/could not stop in time.
0,0,1,0,1,1,1,1,2,60,The blue car is directly responsible for hitting the man and thus deserves the blame.
1,1,1,1,1,1,1,1,9,61,"The red car hit the blue car, which then hit the man but not because the driver did anything wrong, because the red car hit it from a standstill."
1,1,1,1,1,1,1,1,8,62,red car caused the accident by hitting the blue car
1,1,1,1,1,1,1,1,9,63,the red car hit the blue car causing it to move forward and hit the man.
0,0,1,0,1,1,1,1,1,64,The blue car is the one that hit the person. He had plenty of space after passing the red car to stop.
0,0,1,0,1,1,1,1,1,65,Because the blue car hit the man with no involvement of the red car
1,1,1,1,1,1,1,1,8,66,"The blue car couldn't control that the red car rear ended it, causing it to hit the man."
1,1,1,1,1,1,1,1,9,67,"The red car caused the blue car to hit the man.  If the red car hadn't hit the blue car, then the blue car never would have hit the man."
1,1,1,1,1,1,1,1,5,68,the red car bumped the blue car causing the blue car to hit the man
1,1,1,1,1,1,1,1,8,69,The red car had hit the blue car which had caused the blue car to move forward and hit the man.
1,1,1,1,1,1,1,1,9,70,"Because the red car caused the accident, the blue car hitting the man was a continuation of the accident."
0,0,1,0,1,1,1,1,1,71,Only the car who hit the man was moving.
1,1,1,1,1,1,1,1,9,72,"Had the red car not hit the blue car, the man would not have been struck. The red car caused the chain reaction by striking the blue car and therefore the blue car hit the man."
0,0,1,0,1,1,1,1,1,73,The blue car magically drove through the red car and hit the man.  
0,0,1,0,1,1,1,1,1,74,"If I am not mistaken, the blue car was to the rear and somehow passed through the red car, thereby proceeding to hit the man. As a result, I don't believe the driver of the red car bears any responsibility for what happened.  The driver of the blue car is entirely responsible."
1,1,1,1,1,1,1,1,9,75,"The red car moved forward hitting the blue car, propelling the blue car into the man."
1,1,1,1,1,1,1,1,6,76,The blue car would not have hit the man if not being hit by the red car.
1,1,1,1,1,1,1,1,8,77,The red car hit the blue car causing the blue car to hit the man.
1,1,1,1,1,1,1,1,9,78,"The fault was of the man in the red car.  If he did not hit the blue car, the blue car would not have hit the man"
0,0,1,0,1,1,1,1,9,79,"It reminded me of the speeding, tail-gaiting, passing IDIOTS I have to battle all day on the Mount Baker Highway (lots of ski bums and other loafers who don't work for a living), while I'm trying to deliver the mail and avoid being killed. (I was hit twice in the last 16 years while on the route. Doesn't anyone WORK anymore in America?) Even when I lived in Wisconsin (again, delivering the mail), did I ever see anyone, not even Chicago drivers, try to pass TWO cars at once like they do all the time here in Washington state! When you drive 55 mph you're supposed to be 155' behind the car in front of you, not five or 15' feet !!!"
1,1,1,1,1,1,1,1,9,80,The red driver initiated contact due to unsafe driving and is thus liable.
1,1,1,1,1,1,1,1,8,81,"The red car pushed the blue car into the man, the blue car had no control over the situation. "
1,1,1,1,1,1,1,1,7,82,"The blue car wasn't moving until the red car collided with it from behind. It was then that the blue car moved forward and hit the man. Without more physical information, it isn't possible to determine what really happened. All I could tell from the 2-D clip is that the blue car didn't move until the red car hit it."
0,0,1,0,1,1,1,1,1,83,He hit the man...recklessly
1,1,1,1,1,1,1,1,7,84,"The red car is the one that caused the chain reaction. If it hadn't hit the blue car, the blue car wouldn't have hit the man. So, the red car is mostly at fault. But the blue car should have brakes applied firmly and enough distance between it and the man to not hit the man if hit from behind. So, the blue car is also at fault."
1,0,0,0,1,1,1,1,9,85,the blue car had n control over its actions 
0,0,1,0,1,1,1,1,1,86,the blue car drove straight into him
1,1,1,1,1,1,1,1,7,87,The Red car is ultimately the cause of the person being hit because of it's failure to stop.  The Blue car was hit into the person.
1,1,1,1,1,1,1,1,8,88,"It appeared that the red car slammed into the blue car, forcing it into the man."
0,0,1,0,1,1,1,1,1,89,the red car just sat there. the blue car moved and hit the man.
1,1,1,1,1,1,1,1,9,90,"The blue car will not hit the old man unless he is hit by another car, which in this case the red car did."
1,1,1,1,1,1,1,1,7,91,"The red car hit the blue car, which caused it to protrude forward into the pedestrian."
1,0,0,0,1,1,1,1,3,92,"The car that made impact with the individual was clearly the blue car, the blame lies with this person, as it was their responsibility to stop before reaching the person."
1,1,1,1,1,1,1,1,9,93,The red car hit the blue car causing the accident. 
0,0,1,0,1,1,1,1,9,94,"i'm pretty sure the blue car hit the man, unless the red car hit the blue car, causing the blue car to hit the man. but i'm pretty sure i only saw the blue car move."
1,1,1,1,1,1,1,1,9,95,"The driver of the red car caused the accident, sending the blue car into the man.  They are responsible. "
1,1,1,1,1,1,1,1,9,96,The red car hit the blue one. Then it cause the blue car hits the person.
1,1,1,1,1,1,1,1,7,97,The blue car would not have hit the man if the red car had not hit the blue car.
0,0,1,0,1,1,1,1,1,98,"the red car did not hit the man, the blue car did"
0,0,1,0,1,1,1,1,9,99,The blue car hit the man so they deserve all of the blame and severe blame because hitting someone isn't cool.
1,1,1,1,1,1,1,1,1,100,the blue car only hit the guy because of the red car
1,1,1,1,1,1,1,1,9,101,The red car rear ending the blue car caused the man to be hit.
1,1,1,1,1,1,1,1,7,102,The red car rear ended the blue car which hit the man.  If the red car would have stopped the accident would have never happened.  I also think there was enough distance between the blue car and the man.  Where the blue car might have had enough time to stop from hitting the man.  
1,1,1,1,1,1,1,1,6,103,The blue car was stopped far away from the man and without the red car  hitting it would have stayed stationary therefore leaving the man unharmed
1,1,1,1,1,1,1,1,9,104,The red car hit the blue car causing it to go forward and hit the man.
1,1,1,1,1,1,1,1,8,105,The  blue car was hit from behind so would only be able to avoid hitting the person by veering off to the side. They were sitting still so should not be considered at fault.
0,0,1,0,1,1,1,1,9,106,Because The Red Suv Changed Lanes knowing the Pedestrian Always has The Right of Way.
1,1,1,1,1,1,1,1,8,107,The red car smashed into the blue car - which in turn caused the blue car to hit the man.  The red car is at fault because the red car is what caused the blue car to hit the poor man.
0,0,1,0,1,1,1,1,3,108,I feel like the driver of the blue car could have pressed the brake and stopped the person from being hit
1,1,1,1,1,1,1,1,7,109,"the red car hit the blue and the blue hit the man, the blue car should have used it brakes"
0,0,1,0,1,1,1,1,9,110,The blue car driven right pass the red car and hit the man.
0,0,1,0,1,1,1,1,8,111,The blue car had no control in the accident they were in the wrong place at the wrong time.  
1,1,1,1,1,1,1,1,8,112,The red car appears to have pushed the blue car into the man. 
1,1,1,1,1,1,1,1,9,113,the red car pushed the blue car into the man so they are at fault
0,1,0,1,1,1,1,1,8,114,if you hit a car from you behind it is always your fault due to negligence or failure of the person's vehicle.  
1,1,1,1,1,1,1,1,9,115,"Because the blue car was stopped.
The red car was moving and it was the red car's momentum that made the blue car hit the man."
1,1,1,1,1,1,1,1,9,116,The red car hit the blue car.  The blue car hit the man.  The red car caused the blue car to hit the man.
1,1,1,1,1,1,1,1,9,117,The blue car would never have hit the man if the red car hadn't rearended it
1,0,0,0,1,1,1,1,6,118,The red car tail gaited and the blue car sped up and hit him. It was partially the red cars fault but ultimately the blue car for hitting the man.
1,1,1,1,1,1,1,1,8,119,"Yes, the blue car is directly responsible for physically hitting the man, but if the red car had not hit the blue car and set it into motion forward, it would not have resulted in the unfortunate chain of events. "
0,0,1,0,1,1,1,1,1,120,The red car did not move. The blue car hit the man.
1,1,1,1,1,1,1,1,9,121,"The red car was to blame, it stopped the brakes and hit the blue car. The man should not have been in the road. "
0,0,1,0,1,1,1,1,1,122,I saw only the blue car hit the man.
0,0,1,0,1,1,1,1,1,123,The red car was stopped.  The blue car didn't stop and hit the man.
1,1,1,1,1,1,1,1,9,124,The red car was directly responsible for the blue car's movement that ultimately hit the person.
1,1,1,1,1,1,1,1,5,125,"I feel as if the red car is what started it, but the blue car did not avoid the man and/or stop so that the blue car, the one that actually hit the man, is more responsible."
1,1,1,1,1,1,1,1,9,126,The red car was the one who started the momentum to get the blue car to hit the man.
1,1,1,1,1,1,1,1,9,127,"The blue car was stopped, and was hit from behind by the red car. This collision pushed the blue car into the man. "
1,0,0,0,1,1,1,1,3,128,"The blue car ran over the man, period.  That driver had plenty of time to stop before he hit the person."
0,0,1,0,1,1,1,1,1,129,The blue car drove forward and hit the man. The red car didn't do anything.
1,1,1,1,1,1,1,1,9,130,The blue car was stopped and the red car hit him and the guy.
0,0,1,0,1,1,1,1,1,131,Somehow the blue car directly hit the man.
1,1,1,1,1,1,1,1,8,132,"I couldn't quite tell due to the speed of the animation, but it appears the red car ran into the back of the blue one and cause it to hit the man. I do not know if the blue car was already in motion prior to the collision. It seems the red car is most to blame in this situation."
0,0,1,0,1,1,1,1,3,133,I feel as if the blue car could have swerved out of the way
1,1,1,1,1,1,1,1,7,134,"The red car is primarily at fault because it was the one moving that hit the blue car prompting the chain reaction that hit the man. However, since the blue car in fact was the one that made the only contact with the man himself there is some blame for the blue car."
1,1,1,1,1,1,1,1,7,135,The red car pushed the blue car into the man.
0,0,1,0,1,1,1,1,6,136,Saw it happen
1,1,1,1,1,1,1,1,8,137,"The red car appeared to strike the blue car, or at least influence it's movement into Old Man"
0,0,1,0,1,1,1,1,1,138,The blue car is the one that hit the man.  Th red car had nothing to do with it. The red car was just behind the blue car when the blue car hit the man.
0,0,1,0,1,1,1,1,1,139,The blue car is the one that hit the man.
0,0,1,0,1,1,1,1,1,140,The blue car is the only one that moved.
1,1,1,1,1,1,1,1,9,141,man wouldn't have been hit if not for the red car hitting blue car
0,0,1,0,1,1,1,1,1,142,The blue car went right past the red one and hit the man
1,1,1,1,1,1,1,1,8,143,Red car rearended the blue car- the blue car would not have hit the man had it not been for the red car rear ending him
1,1,1,1,1,1,1,1,9,144,The blue car would not have hit the man if it weren't for the red car.
0,0,1,0,1,1,1,1,2,145,"The blue car directly hit the man. Since they should have been able to stop, I assigned the blue car blame."
1,1,1,1,1,1,1,1,8,146,The blue car would not have hit the man if the red car did not hit it first. The blame is on the red car.
1,0,0,0,1,1,1,1,9,147,The red car's driver was not in control of his/her vehicle.  the blue car was stopped and was pushed into the ma.
1,1,1,1,1,1,1,1,9,148,The red car pushed the blue car into the person
1,1,1,1,1,1,1,1,9,149,The red car hit the blue car so it is clearly their fault.
0,0,1,0,1,1,1,1,1,150,Because the blue car hit the man.
0,0,1,0,1,1,1,1,1,151,It looked like it was the blue car that kept going until it hit the person.
1,1,1,1,1,1,1,1,7,152,The red knocked into blue - it's not blue's fault - it could not have predicted that would happen.
0,0,1,0,1,1,1,1,1,153,"The blue car, as the one which hit the man, is to blame because it did not stop or slow down in an attempt to do so. "
1,1,1,1,1,1,1,1,6,154,The blue car didn't have much they could've done.  The red car hit them and they didn't have much control over the situation.
0,0,1,0,1,1,1,1,6,155,I would have thought that the driver of the blue car was trying to get past the driver of the red car because they were driving too slowly. If this was the case I think that the driver of the red car is responsible to some degree because of their slow driving.
1,1,1,1,1,1,1,1,7,156,The red car is the last in the line and the vehicle that strikes the rear of the other car(s) is usually to blame for failure to maintain a safe lookout.
1,1,1,1,1,1,1,1,6,157,"It was the blue car that actually struck the man, but its action was propelled by the action of the red car, i.e,, the red car initiated the incident"
1,1,1,1,1,1,1,1,3,158,"The red car hit the blue car to hit the man by rear ending him/her. However, there was plenty of space for the blue car to avoid the man"
0,0,1,0,1,1,1,1,1,159,Because the blue car was speeding and hit the man.
1,1,1,1,1,1,1,1,9,160,The red car hit the blue car making it hit the man. The red car is at fault. 
0,0,1,0,1,1,1,1,1,161,The blue car went right through the red car and hit the man.
0,0,1,0,1,1,1,1,8,162,The blue car should have given more space between him and the man.  
0,0,1,0,1,1,1,1,1,163,i saw the blue car strike the man.the driver of the  blue car is at fault
1,1,1,1,1,1,1,1,6,164,"The red car drove into the back of the blue car, causing it to hit the man. The blue car wasn't at fault."
0,0,1,0,1,1,1,1,1,165,The blue car did the hitting
0,0,1,0,1,1,1,1,1,166,The red car was either parked or still. The blue car hit the man.
1,1,1,1,1,1,1,1,9,167,Eliminate the blue car and the outcome is the same. Eliminate the red car and there is no accident.
1,1,1,1,1,1,1,1,9,168,The red car caused the accident.
1,1,1,1,1,1,1,1,9,169,The guy in the red car hit the blue car so hard he could not stop from hitting the man so blame would lie on the red car wreckless driving.
1,1,1,1,1,1,1,1,9,170,the red car hit the blue car
1,1,1,1,1,1,1,1,8,171,The red car hit the car first
1,1,1,1,1,1,1,1,7,172,It appears the red car bumped into the blue car and hit the man.
1,1,1,1,1,1,1,1,9,173,"The blue car hit the man, but only because the red car hit it, the end result was because of the red cars actions. "
1,0,0,0,1,1,1,1,6,174,It appears that the 2 cars were closer together at the start than the blue to the person. There could be plenty of stopping room for the blue car to prevent hitting the person. Unless of course the red car was travelling at a speed so much that it would decimate the two cars. The blue car should be able to maneuver their vehicle out of the way even with a sudden acceleration. 
1,1,1,1,1,1,1,1,8,175,"I blamed the red car because it ran into the blue car, causing the blue car to hit the man."
1,1,1,1,1,1,1,1,9,176,Because the red car hit the blue car causing the accident
1,1,1,1,1,1,1,1,9,177,The red car ran into the blue car and caused the blue car to hit the pedestrian
1,0,0,0,1,1,1,1,7,178,The red car should have been paying attention to in front of him.
1,1,1,1,1,1,1,1,9,179,The red car was the direct cause of the man being hit even though technically the blue car is the one that contacted the man. It was through a 'domino effect' that the red car initiated the scenario that caused the man to get hit.
1,1,1,1,1,1,1,1,8,180,The blue car wouldn't have hit the man if the red car didn't hit the blue car.
1,1,1,1,1,1,1,1,9,181,The blue car only hit the man because the red car hit it. 
1,1,1,1,1,1,1,1,8,182,"The red car was the one that caused the blue car to move into the man. Therefore, the blame lies on the red car."
1,1,1,1,1,1,1,1,8,183,The blue car only hit the man because the red car ran into it.
1,1,1,1,1,1,1,1,7,184,"Though the blue car did the hitting, the red car caused the blue car to lurch forward and hit the man. Therefore the red car is responsible because that is the car that initiated the accident, and caused the events that follow."
0,0,1,0,1,1,1,1,8,185,"Either way, the man got hit."
1,1,1,1,1,1,1,1,9,186,the red car forced the blue car into the man
1,1,1,1,1,1,1,1,8,187,"The red car initiated the impact causing the blue car to hit the pedestrian.  If the red car had not hit the blue car, nothing would have happened. "
1,1,1,1,1,1,1,1,9,188,the red car hit the blue car which then hit the man
1,1,1,1,1,1,1,1,9,189,The red car hit the blue car and made it hit the man.
1,1,1,1,1,1,1,1,7,190,"The red car is the one that provided most of the inertia (relative to the pedestrian)in this particular situation. While the blue car should have braked better, the red car ultimately caused the problem."
1,1,1,1,1,1,1,1,9,191,"The blue car was just sitting there doing nothing, and the red car just ran right ahead and ran into it, causing it to hit the man. The red car was negligent."
1,1,1,1,1,1,1,1,8,192,The red car caused the blue car to hit the man. 
1,1,1,1,1,1,1,1,8,193,The red car is responsible becasue it kncked the blue car into the man.
1,1,1,1,1,1,1,1,6,194,the red car hits blue
1,1,1,1,1,1,1,1,8,195,The red car caused the accident when it hit the blue car.
1,1,1,1,1,1,1,1,5,196,The Red Car hit the Blue Car Propelling in to the man
1,0,0,0,1,1,1,1,5,197,Red car is most to blame. Blue car was too close to man. rear ender is usually to blame
1,1,1,1,1,1,1,1,8,198,The blue car seemed to be an appropriate distance from the man. It was only when the red car hit the blue car that the blue car hit the man. I think the blue car could only reasonably stay so far from everything it could hit if rear-ended.
1,1,1,1,1,1,1,1,8,199,"The blue car would have not hit the man if the red car did not initiate the first hit.  The red car failed to break in time which in turn hit the blue car, and caused it to hit the man.  However, the blue car probably should have been further away from the man too.  "
1,1,1,1,1,1,1,1,6,200,red car forced the blue car into that man
1,1,1,1,1,1,1,1,9,201,"Unless the red car was in a different lane/plane, it hit the blue car which then hit the man."
0,0,1,0,1,1,1,1,1,202,The blue car hit the man
1,1,1,1,1,1,1,1,8,203,"The blue car should be able to control the force given by the red car, stopping him from hitting the man."
1,0,0,0,1,1,1,1,4,204,Because both cars were obviously at fault.
1,1,1,1,1,1,1,1,8,205,The red car caused the blue car to move forward hitting the man
1,1,1,1,1,1,1,1,9,206,"I have actually been in a similar situation where I pulled up and stopped appropriately behind a car in front of me stopped at a light, when a car behind me skidded into the back of my car and caused my care to bump into the car in front of me. If the car behind me had controlled his vehicle appropriately and stopped before hitting my vehicle my vehicle would have avoided hitting the car in front of me. There for I place the blame for the hole thing on the car that hit the back of my car, just as I place all the blame on the red car here. "
1,1,1,1,1,1,1,1,8,207,red car bets blue car
1,1,1,1,1,1,1,1,9,208,"The red car is the car that hit the blue car. The red car was supposed to stop, and did not. If the blue car had not been in the way, the red car would have instead hit the man. "
1,1,1,1,1,1,1,1,8,209,the red car hit and propelled the blue car forward
1,1,1,1,1,1,1,1,8,210,The blue car wouldn't have hit the man or even moved at all if the red car hadn't hit it first. 
0,0,1,0,1,1,1,1,1,211,the blue car drove past the red car and hit the man
1,1,1,1,1,1,1,1,9,212,"The red car hit the blue car, thereby causing the blue car to hit the man."
0,0,1,0,1,1,1,1,1,213,The blue car is to blame because the red car had to see the man but the blue car did not.
1,1,1,1,1,1,1,1,8,214,"If the red car hadn't hit the blue car, the blue car wouldn't have hit the man. "
1,1,1,1,1,1,1,1,9,215,because if the red car would have never hit the blue car then the blue car would have never hit the man.
1,1,1,1,1,1,1,1,7,216,"The red car collided with the blue car, sending it forward into the man. The blue car was stopped before the collision. "
1,1,1,1,1,1,1,1,6,217,"The red car hit the blue car which then hit the man. If the red car did not hit the blue car, most likely the blue car would have not hit the man. "
1,1,1,1,1,1,1,1,9,218,The red car impacted the blue car causing forward movement and subsequently the blue car struck the man
0,0,1,0,1,1,1,1,1,219,"In the video I saw, only the blue car ran into the man. "
1,1,1,1,1,1,1,1,7,220,red hit blue
1,1,1,1,1,1,1,1,9,221,The blue car looked parked. The red car slammed into the back of it causing the blue car to hit the man.
0,0,1,0,1,1,1,1,1,222,The blue car actually hit the man.
0,0,1,0,1,1,1,1,3,223,Because simply at the end of the day the blue car hit person.
1,1,1,1,1,1,1,1,9,224,"If the red car had stopped in time, the blue car would not have been hit from behind, and therefore wouldn't have hit the pedestrian."
1,1,1,1,1,1,1,1,8,225,The red car was responsible for the chain reaction causing the blue car to knock the man to the ground.
1,0,0,0,1,1,1,1,9,226,The blue car had no control over what happened in the situation.
1,1,1,1,1,1,1,1,9,227,"the red car hit the blue car, which hit the man."
0,0,1,0,1,1,1,1,1,228,the blue car drove directly into the man.
1,1,1,1,1,1,1,1,9,229,The momentum of the red car hitting the blue car caused the man to be hit. The blue car was just an inconsequential object... it could have been ANYTHING that the red car hit that pushed into the man; in the end the red car is the one in motion.
1,1,1,1,1,1,1,1,9,230,The red car hit the blue car which pushed the blue car into the man.
0,0,1,0,1,1,1,1,2,231,i thought i saw the blue car hit the man but i could be wrong. happened very fast
1,1,1,1,1,1,1,1,9,232,the red car hit the blue one whichcaused the blue car to him the man
1,1,1,1,1,1,1,1,9,233,The red car hitting the blue car is what caused the blue car to hit the man
1,1,1,1,1,1,1,1,9,234,The blue car was stopped and got rammed from behind by the red car. The blue car couldn't of seen it coming or done anything to prevent it while the red car could of.
1,1,1,1,1,1,1,1,8,235,the red car hit the blue car sending the blue car moving more to hit the man.
1,1,1,1,1,1,1,1,8,236,I feel as if the red car started the whole process that resulted in the man getting hit. I am unsure as to whether or not the blue car could have stopped
1,1,1,1,1,1,1,1,9,237,Red car hit the blue car causing it to hit the man
1,1,1,1,1,1,1,1,7,238,"The red car hit the blue car, which caused it to roll forward and hit the man. It did not look like the blue car started independently of the impact from the red car."
1,1,1,1,1,1,1,1,6,239,"The red car hit the blue car, causing the accident."
1,1,1,1,1,1,1,1,9,240,"Because if the red car hadn't slammed into the blue car, it is not very likely the blue car would have hit the man. "
0,0,1,0,1,1,1,1,5,241,it caused it
1,1,1,1,1,1,1,1,9,242,"The red car pushed the blue car into the man.  Without the red car there is not accident, without the blue car there is still an accident"
1,1,1,1,1,1,1,1,9,243,The red car caused the blue car to hit the man.  The blue car would not have hit man if red car had not run into it first.
0,0,1,0,1,1,1,1,1,244,Because the blue car hit the man.
1,1,1,1,1,1,1,1,7,245,Looks like the red car hit the blue car and caused tge blue car hit the person. Althiugh it was hard to see weather the red car actually hit the blue car or not.
1,1,1,1,1,1,1,1,9,246,"If the red car had not hit the blue car, the blue car may have never hit the man."
1,1,1,1,1,1,1,1,9,247,The blue car would not have hit the man if the red car had not hit him.
1,1,1,1,1,1,1,1,8,248,"The red car hit the blue car. If the red car had not hit the blue car, the blue car would not have hit the man. There wasn't much the blue car could do to avoid hitting the man after being hit by the red car."
0,0,1,0,1,1,1,1,7,249,I don't think it was the blue car's fault
0,0,1,0,1,1,1,1,7,250,the driver of the blue cars needs to be in charge of his automobile at all times
1,0,0,0,1,1,1,1,7,251,"It depends upon the situation, and whether the blue car has automatic or manual transmission.  If manual transmission, on a flat level, the driver might have just been resting his/her leg for a moment; the red car might have been drunk, texting or otherwise not paying attention.  It is possible, however, that the blue car with manual transmission should have been hypervigilent of this odd and unlikely scenario, and had his/her leg on the brake, even on level ground, at all times."
1,1,1,1,1,1,1,1,6,252,"The red car crashed into the blue car, although possibly the blue car could have stopped in time."
0,0,1,0,1,1,1,1,1,253,"Because the blue car is the one that hit the man. It is unclear if the red car pushed the blue car into the man either, thus making the blue car to blame."
0,0,1,0,1,1,1,1,3,254,The blue car could have hit the brakes and not hit the man
0,0,1,0,1,1,1,1,9,255,"the driver of the car drove toward and hit the man. The car made no attempt to slow down and could clearly see the  man.
"
0,0,1,0,1,1,1,1,9,256,The blue car went past the red car and hit the man without slowing down or stopping
